1|Администратор|20062|null|null|null|null|3431|Специалисты
2|Академик-секретарь академии|20080|null|null|null|null|1210|Руководители
3|Аккумуляторщик|10047|1|Профессии рабочих общие для всех отраслей народного хозяйства|1-5|Выполнение работ по ремонту аккумуляторов и аккумуляторных батарей различных типов и емкостей. Выявление повреждений элементов батарей и их устранение. Текущий ремонт зарядных агрегатов. Смена электролита и сепарации в аккумуляторных батареях. Приготовление электролита по установленной рецептуре. Удаление шлама из элементов работающих батарей. Выполнение всех работ, предусмотренных инструкцией по вводу аккумуляторов в эксплуатацию|7233|Рабочие
4|Аппаратчик|10065|20|2-6|null|null|8223|null
5|Аппаратчик ожижения водорода и гелия|6|66 ч.3 2002г.|Специальное химическое производство, подраздел 9, газоразделительное производство|7-11, стр310-311|Ведение технологического процесса получения жидкого водорода и гелия с пульта управления.Обслуживание водородно-гелиевых ожижителей.Подготовка криогенных емкостей и трубопроводов к заполнению и заполнение их жидким водородом и гелиемю. Текущий ремонт аппаратов установки|null|Рабочие
6|Аппаратчик вакуум-аппаратов|10099|52|4-5|null|null|8271|null
7|Аппаратчик вакуум-приемников|10103|32|3-4|null|null|8233|null
8|Аппаратчик вакуум-сушильной установки|10105|55|5|null|null|8272|null
9|Аппаратчик вакуум-термической печи|10107|7|4-5|null|null|8123|null
10|Аппаратчик вакуумирования|10101|24|3-4|null|null|8159|null
11|Аппаратчик газоразделительного производства|5|66 ч.3 2002г.|Специальное химическое производство, подраздел 9, газоразделительное производство|1-4, стр281-282|Обслуживание технологического оборудования газоразделительного производства.Выполнение операций по подготовке оборудования к ремонту,приему и пуску после ремонта. Чистка оборудования.Ведение технической документации.|null|Рабочие
12|Аппаратчик на приготовлении смесей и растворов|10373|8|3-6|null|null|8229|null
13|Аппаратчик на пропиточных агрегатах|10375|43|3-5|null|null|8134|null
14|Аппаратчик напыления металлом|10377|26|5|null|null|8226|null
15|Аппаратчик нейтрализации|10386|24|2-5|null|null|8159|null
16|Аппаратчик нитрования|10390|24|3-5|null|null|8159|null
17|Аппаратчик обессоливания воды|10409|24|3-4|null|null|8159|null
18|Аппаратчик окисления|10431|24|3-6|null|null|8159|null
19|Аппаратчик отбеливания|10457|27|3-5|null|null|8232|null
20|Аппаратчик очистки газа|10486|24|2-6|null|null|8154|null
21|Аппаратчик очистки жидкости|10488|24|2-5|null|null|8154|null
22|Аппаратчик очистки сточных вод|10490|1|2-4|null|null|8163|null
23|Аппаратчик по производству и химической очистке полупроводниковых материалов|10645|20|3-6|null|null|8159|null
24|Аппаратчик полимеризации|10544|24|3-6|null|null|8159|null
25|Аппаратчик получения инертного газа|10560|24|4-5|null|null|8159|null
26|Аппаратчик получения комплексных соединений|10566|31|4|null|null|8221|null
27|Аппаратчик приготовления компаундов|10683|27|4-5|null|null|8232|null
28|Аппаратчик приготовления лака|10689|48|6|null|null|8265|null
29|Аппаратчик приготовления электролита|10731|8|3|null|null|8159|null
30|Аппаратчик приготовления эмульсий|10735|24|3-5|null|null|8229|null
31|Аппаратчик производства корунда|10792|25|3-5|null|null|8225|null
32|Аппаратчик производства технической продукции|10861|52|2-6|null|null|8271|null
33|Аппаратчик пропитки|10898|47|3|null|null|8261|null
34|Аппаратчик пропитки|10897|24|2-5|null|null|8159|null
35|Аппаратчик растворения лаковых основ|10912|26|4-5|null|null|8159|null
36|Аппаратчик установки опытного производства|11047|24|3-6|null|null|8159|null
37|Аппаратчик химводоочистки|11078|1|Профессии рабочих общие для всех отраслей народного хозяйства|14-17|Ведение процесса обессоливания воды методом ионообмена на катионитовых и анионитовых фильтрах и на ионитовых адсорбционных колоннах. Контроль параметров технологического режима.|8163|Рабочие
38|Аппаратчик химической обработки технического сырья|11081|52|4|null|null|8271|null
39|Аппаратчик химической чистки|11085|66|3-5|null|null|8264|null
40|Аппаратчик хлорирования|11087|24|2-6|null|null|8159|null
41|Аппаратчик-комплекторщик|10316|55|4|null|null|8272|null
42|Аппаратчик-конденсаторщик|10320|48|5|null|null|8265|null
43|Архивариус|20190|null|null|null|null|4141|Другие служащие
44|Ассистент|20199|null|null|null|null|2310|Специалисты
45|Аэрографист|11143|44|2-3|null|null|7324|null
46|Багермейстер-наставник|20306|null|null|null|null|3142|Руководители
47|Балансировщик деталей и узлов|11161|2|2-6|null|null|8282|null
48|Балансировщик шин|11166|33|3|null|null|8284|null
49|Бетонщик|11196|3|Строительные , монтажные и ремонтно-строительные работы|16-20|Бетонирование бетонных и железобетонных конструкций.|7121|Рабочие
50|Библиотекарь|20316|КС, выпуск 2002г|раздел 1|стр. 163|комплектование, обслуживание и организацию учета и хранения печатных материалов, научно-технической информации на различных носителях, управленческой документации; ведение работы по организации справочно-библиографического аппарата библиотек в традиционном и автоматизированном режиме; обслуживание пользователей библиотечных и других информационных фондов, подготовку для них обзоров, справок, документов|2432|Специалисты
51|Библиотекарь (средней квалификации)|20318|null|null|null|null|4141|Специалисты
52|Битумщик|11200|43|3-4|null|null|8229|null
53|Бригадир заготовительного отделения|11225|7|""|null|null|8121|null
54|Бригадир на участках основного производства|11237|7|""|null|null|8290|null
55|Бригадир осмотра и механообработки колес|11244|20|""|null|null|7214|null
56|Брикетировщик|11272|14|2-4|null|null|7280|null
57|Брошюровщик|11284|59|1-4|null|null|7416|null
58|Брынзодел|11286|52|3|null|null|7416|null
59|Бункеровщик доменных печей|11290|7|2-3|null|null|8125|null
60|Бухгалтер|20336|КС, выпуск 2002г|ОБЩЕОТРАСЛЕВЫЕ КВАЛИФИКАЦИОННЫЕ ХАРАКТЕРИСТИКИ ДОЛЖНОСТЕЙ РАБОТНИКОВ, ЗАНЯТЫХ НА ПРЕДПРИЯТИЯХ,В УЧРЕЖДЕНИЯХ И ОРГАНИЗАЦИЯХ|стр.156|Выполняет работу по ведению бухгалтерского учета имущества, обязательств и хозяйственных операций (учет основных средств, товарно - материальных ценностей, затрат на производство, реализации продукции, результатов хозяйственно - финансовой деятельности, расчеты с поставщиками и заказчиками, а также за предоставленные услуги и т.п.).|2411|Специалисты
61|Бухгалтер (средней квалификации)|20337|null|null|null|null|3433|Специалисты
62|Бухгалтер 1 кат.|20336 1|null|null|null|null|null|null
63|Бухгалтер 2 кат.|20336 2|null|null|null|null|null|null
64|Бухгалтер-ревизор|20339|null|null|null|null|2411|Специалисты
65|Бухгалтер-эксперт|20342|null|null|null|null|2411|Специалисты
66|Вакуум-прессовщик керамической массы и заготовок|11311|45|2-5|null|null|7321|null
67|Вакуумщик|11313|56|Лабораторные работы|4|Выполнение работ по обслуживанию и ремонту вакуумных установок.Ремонт,чистка оборудования, слесарная обработка деталей.|8290|Рабочие
68|Варщик битума|11370|43|2-4|null|null|7450|null
69|Ведущий инженер|22446 05|КС, выпуск 2002г.|ОБЩЕОТРАСЛЕВЫЕ КВАЛИФИКАЦИОННЫЕ ХАРАКТЕРИСТИКИ ДОЛЖНОСТЕЙ РАБОТНИКОВ, ЗАНЯТЫХ НА ПРЕДПРИЯТИЯХ,В УЧРЕЖДЕНИЯХ И ОРГАНИЗАЦИЯХ|2, стр 164|Выполняет с использованием средств вычислительной техники, коммуникаций и связи работы в области научно - технической деятельности по проектированию, строительству, информационному обслуживанию, организации производства, труда и управления, метрологическому обеспечению, техническому контролю и т.п. Разрабатывает методические и нормативные документы, техническую документацию.|2149|Специалисты
70|Ведущий инженер по научно-технической информации|22623 05|null|null|null|null|null|null
71|Ведущий инженер-конструктор|22491 05|1. КС, выпуск 2002г|раздел 1|стр. 166|Разрабатывает эскизные, технические и рабочие проекты изделий, используя средства автоматизации проектирования, передовой опыт разработки конкурентоспособных изделий, обеспечивает при этом соответствие разрабатываемых конструкций техническим заданиям, стандартам, нормам охраны труда, требованиям наиболее экономичной технологии производства, а также использование в них стандартизованных и унифицированных деталей и сборочных единиц.|2145|Специалисты
105|Главный сварщик|20886|null|null|null|null|1222|Руководители
72|Ведущий инженер-программист|22824 05|КС, выпуск 2002г.|ОБЩЕОТРАСЛЕВЫЕ КВАЛИФИКАЦИОННЫЕ ХАРАКТЕРИСТИКИ ДОЛЖНОСТЕЙ РАБОТНИКОВ, ЗАНЯТЫХ НА ПРЕДПРИЯТИЯХ,В УЧРЕЖДЕНИЯХ И ОРГАНИЗАЦИЯХ|2, стр 212|Разрабатывает программы, обеспечивающие возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники, проводит их тестирование и отладку. Разрабатывает технологию решения задачи по всем этапам обработки информации. Осуществляет выбор языка программирования. Определяет информацию, подлежащую обработке средствами вычислительной техники, ее объемы, структуру, макеты и схемы ввода, обработки, хранения и вывода, методы ее контроля. Выполняет работу по подготовке программ к отладке и проводит отладку.|2132|Специалисты
73|Ведущий инженер-технолог|22854 05|КС, выпуск 2002г.|общеотраслевые квалификационные характеристики должностей работников, занятых на предприятиях, в учреждениях и организациях|2, стр 214|Разрабатывает технологические нормативы, инструкции, схемы сборки, маршрутные карты, карты технического уровня и качества продукции и другую технологическую документацию, вносит изменения в техническую документацию в связи с корректировкой технологических процессов и режимов производства. Согласовывает разработанную документацию с подразделениями предприятия. Разрабатывает технические задания на проектирование специальной оснастки, инструмента и приспособлений, предусмотренных технологией, технические задания на производство нестандартного оборудования.|2145|Специалисты
